id;naam;source;import_source;import_status;status;categorie;doel;trigger;systemen;stappen_count;stappen;webhook_paths;endpoints;gitlab_endpoint_method;gitlab_endpoint_path;gitlab_endpoint_handler;external_id;gitlab_file_path;hubspot_last_run_at;hubspot_run_count_365d;last_synced_at;approved_at;rejected_at;rejection_reason
AUTO-093;[Offerte.nl-sheet] Nieuw contact vanuit offerte.nl-sheet;hubspot;hubspot;approved;Uitgeschakeld;Data beheer;;contact eigenschap;HubSpot;1;"Maak of update deal met velden: hubspot_owner_id, dealstage, dealname, amount";;;;;;47309511;;;;2026-05-05T11:39:01.119+00:00;2026-04-16T14:23:17.694+00:00;;
AUTO-094;[Via-via] Nieuw contact vanuit Via-via sheet;hubspot;hubspot;approved;Actief;Data beheer;;contact eigenschap;HubSpot;1;"Maak of update deal met velden: hubspot_owner_id, dealstage, dealname, amount";;;;;;50196563;;;;2026-05-05T11:39:01.119+00:00;2026-04-16T14:23:17.142+00:00;;
AUTO-095;Jaarlijkse klanten nieuwsbrief november;hubspot;hubspot;approved;Actief;Algemeen;;contact eigenschap;HubSpot;2;Voer HubSpot-actie uit | Voer HubSpot-actie uit;;;;;;106416524;;;;2026-05-05T11:39:01.119+00:00;2026-04-16T14:23:16.598+00:00;;
AUTO-096;Jaarlijkse klanten nieuwsbrief februari ;hubspot;hubspot;approved;Actief;Algemeen;;contact eigenschap;HubSpot;2;Voer HubSpot-actie uit | Voer HubSpot-actie uit;;;;;;106423304;;;;2026-05-05T11:39:01.119+00:00;2026-04-16T14:23:16.078+00:00;;
AUTO-097;Jaarlijkse klanten nieuwsbrief mei;hubspot;hubspot;approved;Actief;Algemeen;;contact eigenschap;HubSpot;2;Voer HubSpot-actie uit | Voer HubSpot-actie uit;;;;;;106418844;;;;2026-05-05T11:39:01.119+00:00;2026-04-16T14:23:15.518+00:00;;
AUTO-098;Jaarlijkse klanten nieuwsbrief augustus;hubspot;hubspot;approved;Actief;Algemeen;;contact eigenschap;HubSpot;2;Voer HubSpot-actie uit | Voer HubSpot-actie uit;;;;;;106388151;;;;2026-05-05T11:39:01.119+00:00;2026-04-16T14:23:14.974+00:00;;
AUTO-099;Meeting send email reminder;hubspot;hubspot;approved;Uitgeschakeld;Algemeen;;contact eigenschap;HubSpot;2;Voer HubSpot-actie uit | Voer HubSpot-actie uit;;;;;;112299419;;;;2026-05-05T11:39:01.119+00:00;2026-04-16T14:23:14.446+00:00;;
AUTO-100;Op afspraak geweest 2;hubspot;hubspot;approved;Uitgeschakeld;Data beheer;;contact eigenschap;HubSpot;2;Stel 'dtm_eerste_fysieke_afspraak' in | Stel 'op_afspraak_geweest' in;;;;;;149397779;;;;2026-05-05T11:39:01.119+00:00;2026-04-16T14:23:14.07+00:00;;
AUTO-101;Reminder follow-up e-mail;hubspot;hubspot;pending_approval;Uitgeschakeld;Algemeen;;contact eigenschap;HubSpot;0;;;;;;;149911419;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-102;HUBSPOT TEST Reminder follow-up e-mail (cloned);hubspot;hubspot;approved;Uitgeschakeld;Algemeen;;contact eigenschap;HubSpot;4;Splits in 3 paden op basis van criteria | Voer HubSpot-actie uit | Voer HubSpot-actie uit | Voer HubSpot-actie uit;;;;;;151819678;;;;2026-05-05T11:39:01.119+00:00;2026-04-16T14:23:10.59+00:00;;
AUTO-103;Taal sync vanuit contact naar sales pipeline;hubspot;hubspot;approved;Actief;Data beheer;;contact eigenschap;HubSpot;1;Stel 'voertaal' in;;;;;;153463832;;;;2026-05-05T11:39:01.119+00:00;2026-04-16T14:23:10.054+00:00;;
AUTO-104;Set contacts as marketing contacts;hubspot;hubspot;approved;Actief;Algemeen;;contact eigenschap;HubSpot;1;Voer HubSpot-actie uit;;;;;;155639572;;;;2026-05-05T11:39:01.119+00:00;2026-04-16T14:23:09.502+00:00;;
AUTO-105;Send a follow-up email after form submission;hubspot;hubspot;approved;Actief;Data beheer;;Lijst/gefilterde criteria;HubSpot;2;"Voer HubSpot-actie uit | Maak of update deal met velden: hubspot_owner_id, dealstage, dealname, amount";;;;;;202627415;;;;2026-05-05T11:39:01.119+00:00;2026-04-16T14:23:08.934+00:00;;
AUTO-106;Geen Taal in Contact- Melding;hubspot;hubspot;approved;Actief;Algemeen;;contact eigenschap;HubSpot;1;Voer HubSpot-actie uit;;;;;;249135998;;;;2026-05-05T11:39:01.119+00:00;2026-04-16T14:23:08.366+00:00;;
AUTO-107;Copy type bankkoppeling van contact naar deal;hubspot;hubspot;approved;Actief;Data beheer;;EVENT_BASED;HubSpot;1;Stel 'bankkoppeling__btw_type_informatie' in;;;;;;551403520;;;;2026-05-05T11:39:01.119+00:00;2026-04-16T14:23:07.798+00:00;;
AUTO-108;Name Change of Contact;hubspot;hubspot;approved;Actief;Integratie;;EVENT_BASED;HubSpot | Webhook;1;Webhook -> https://composed-month-production.up.railway.app/operations/hubspot/contact/updating_dealname;/operations/hubspot/contact/updating_dealname;;;;;577790018;;;;2026-05-05T11:39:01.119+00:00;2026-04-16T14:23:07.278+00:00;;
AUTO-109;When a contact clicks a link in the email;hubspot;hubspot;approved;Uitgeschakeld;Algemeen;;Onbekend;HubSpot;0;;;;;;;1606917243;;;;2026-05-05T11:39:01.119+00:00;2026-04-16T14:23:06.734+00:00;;
AUTO-110;Copy City from contact to deal- eenmalig;hubspot;hubspot;approved;Actief;Algemeen;;Onbekend;HubSpot;0;;;;;;;1609966966;;;;2026-05-05T11:39:01.119+00:00;2026-04-16T14:23:06.262+00:00;;
AUTO-111;Copy City from contact to deal- automatisch ;hubspot;hubspot;approved;Actief;Algemeen;;Onbekend;HubSpot;0;;;;;;;1609955506;;;;2026-05-05T11:39:01.119+00:00;2026-04-16T14:23:05.782+00:00;;
AUTO-112;JRen property contact goed zetten aan de hand van company properties;hubspot;hubspot;approved;Actief;Algemeen;;Onbekend;HubSpot;0;;;;;;;1617436815;;;;2026-05-05T11:39:01.119+00:00;2026-04-16T14:23:05.358+00:00;;
AUTO-113;Copy Jaarrekeningen property from Contact to deal;hubspot;hubspot;approved;Actief;Algemeen;;Onbekend;HubSpot;0;;;;;;;1617879167;;;;2026-05-05T11:39:01.119+00:00;2026-04-16T14:23:04.886+00:00;;
AUTO-114;Copy contact jaarrekeningen property to deals (dynamic);hubspot;hubspot;approved;Actief;Data beheer;;EVENT_BASED;HubSpot;1;Stel 'jaarrekeningen__contact__2024' in;;;;;;1617934605;;;;2026-05-05T11:39:01.119+00:00;2026-04-16T14:23:04.453+00:00;;
AUTO-115;"Bedrijfzvoorm van ""contact"" overnemen naar deal voor IB pipeline 2024";hubspot;hubspot;approved;Actief;Data beheer;;contact eigenschap;HubSpot;3;Splits in 2 paden op basis van criteria | Stel 'bedrijfsvoorm_voor_ib__deal_' in | Stel 'bedrijfsvoorm_voor_ib__deal_' in;;;;;;1637520541;;;;2026-05-05T11:39:01.119+00:00;2026-04-16T14:23:03.958+00:00;;
AUTO-116;Copy contact typeform property to deal;hubspot;hubspot;approved;Actief;Data beheer;;contact eigenschap;HubSpot;1;Stel 'ib_2024_typeform_ingevuld__copy_from_contact_' in;;;;;;1637691551;;;;2026-05-05T11:39:01.119+00:00;2026-04-16T14:23:03.51+00:00;;
AUTO-117;Copy Jaarklant helper to Jaarklant ;hubspot;hubspot;approved;Actief;Data beheer;;contact eigenschap;HubSpot;4;Splits in 2 paden op basis van criteria | Stel 'jaarklant' in | Stel 'jaarklant' in | Stel 'jaarklant' in;;;;;;1697531651;;;;2026-05-05T11:39:01.119+00:00;2026-04-16T14:23:02.918+00:00;;
AUTO-118;Delete contacts with no activity;hubspot;hubspot;approved;Uitgeschakeld;Integratie;;Tijdgebaseerde inschrijving;HubSpot;1;Externe integratie (definitie 18224765);;;;;;98727940;;;;2026-05-05T08:22:49.395+00:00;2026-04-23T07:23:42.092+00:00;;
AUTO-HS-157139593;Kwaliteits niveau lead (cloned);hubspot;hubspot;pending_approval;Actief;Data beheer;;deal eigenschap;HubSpot;4;Splits in 1 paden op basis van criteria | Splits in 1 paden op basis van criteria | Stel 'kwaliteitsniveau_lead' in | Stel 'kwaliteitsniveau_lead' in;;;;;;157139593;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-38215757;Deal Owner Change;hubspot;hubspot;approved;Uitgeschakeld;Integratie;;deal eigenschap;HubSpot | Webhook;1;Webhook -> https://eo3yotzw70csrmt.m.pipedream.net;;;;;;38215757;;;;2026-05-05T11:39:01.119+00:00;2026-05-07T11:39:34.059+00:00;;
AUTO-HS-164554537;default- eerste fysieke afspraak;hubspot;hubspot;pending_approval;Actief;Data beheer;;deal eigenschap;HubSpot;1;Stel 'dtm_eerste_fysieke_afspraak' in;;;;;;164554537;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-503843674;set source to Offerte.nl eenmalig;hubspot;hubspot;pending_approval;Uitgeschakeld;Data beheer;;deal eigenschap;HubSpot;1;Stel 'lead_source_wiecher' in;;;;;;503843674;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-164566603;Contact naar JR berekening gereed;hubspot;hubspot;pending_approval;Actief;Data beheer;;deal eigenschap;HubSpot;1;Stel 'dealstage' in;;;;;;164566603;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-169461915;Forecast amount naar 0;hubspot;hubspot;pending_approval;Actief;Data beheer;;deal eigenschap;HubSpot;1;Stel 'amount' in;;;;;;169461915;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-1656807343;Update Onboarding Typeform status for accepted deals;hubspot;hubspot;pending_approval;Actief;Data beheer;;deal eigenschap;HubSpot;1;Stel 'onboarding_typeform' in;;;;;;1656807343;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-571875714;JR Nieuwe klant Prio;hubspot;hubspot;pending_approval;Actief;Data beheer;;deal eigenschap;HubSpot;1;Stel 'hs_priority' in;;;;;;571875714;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-190168626;Termijn pakketklanten;hubspot;hubspot;pending_approval;Uitgeschakeld;Data beheer;;deal eigenschap;HubSpot;4;Splits in 3 paden op basis van criteria | Stel 'customer_service' in | Stel 'customer_service' in | Stel 'customer_service' in;;;;;;190168626;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-103974764;"Pipeline is ""Belastingdienst - bezwaar & verzoeken"", Ticket status is ""Gegevens klant opgevraagd / brief schrijven""";hubspot;hubspot;pending_approval;Uitgeschakeld;Algemeen;;Object eigenschap;HubSpot;0;;;;;;;103974764;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-164532917;Default-DTM eerste bel moment;hubspot;hubspot;pending_approval;Actief;Data beheer;;deal eigenschap;HubSpot;1;Stel 'dtm_eerste_telefoongesprek' in;;;;;;164532917;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-326236783;q1-q4 geboekt goed plaatsen;hubspot;hubspot;pending_approval;Uitgeschakeld;Data beheer;;deal eigenschap;HubSpot;1;Stel 'dealstage' in;;;;;;326236783;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-1606841758;Jaarcontrole 2024 nieuwe klanten;hubspot;hubspot;pending_approval;Actief;Data beheer;;deal eigenschap;HubSpot;1;Stel 'dealstage' in;;;;;;1606841758;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-303514220;"Pipeline is ""BTW Q4 2022"", deal stage is ""Open""";hubspot;hubspot;pending_approval;Uitgeschakeld;Algemeen;;deal eigenschap;HubSpot;0;;;;;;;303514220;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-472027153;Bankkoppeling - Machtiging uitvragen;hubspot;hubspot;pending_approval;Uitgeschakeld;Data beheer;;deal eigenschap;HubSpot;2;Voer HubSpot-actie uit | Stel 'dealstage' in;;;;;;472027153;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-399359805;VPB goed plaatsen gebaseerd op JR status;hubspot;hubspot;pending_approval;Uitgeschakeld;Data beheer;;deal eigenschap;HubSpot;1;Stel 'dealstage' in;;;;;;399359805;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-380331543;IB informatie status 2022;hubspot;hubspot;pending_approval;Uitgeschakeld;Data beheer;;deal eigenschap;HubSpot;1;Stel 'ib_2022_info_ontvangen' in;;;;;;380331543;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-122934648;Datum eerste contact;hubspot;hubspot;pending_approval;Uitgeschakeld;Algemeen;;MANUAL;HubSpot;0;;;;;;;122934648;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-430053771;set source to organic;hubspot;hubspot;pending_approval;Actief;Data beheer;;deal eigenschap;HubSpot;1;Stel 'lead_source_wiecher' in;;;;;;430053771;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-472004617;Bankkoppeling - Stuur reminder;hubspot;hubspot;pending_approval;Uitgeschakeld;Algemeen;;EVENT_BASED;HubSpot;1;Voer HubSpot-actie uit;;;;;;472004617;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-430048942;set source to ageras;hubspot;hubspot;pending_approval;Actief;Data beheer;;deal eigenschap;HubSpot;1;Stel 'lead_source_wiecher' in;;;;;;430048942;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-1628298543;"Put deals from ""JR JAARKLANT"" to ""GEGEVENS GEREED"" when Bankkoppeling Status is active";hubspot;hubspot;pending_approval;Uitgeschakeld;Data beheer;;EVENT_BASED;HubSpot;1;Stel 'dealstage' in;;;;;;1628298543;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-149895041;DTM derde gemiste telefoon gesprek;hubspot;hubspot;pending_approval;Actief;Data beheer;;deal eigenschap;HubSpot;1;Stel 'dtm_derde_bel_moment' in;;;;;;149895041;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-399359796;JR status 2022 uit JR pipeline ;hubspot;hubspot;pending_approval;Uitgeschakeld;Data beheer;;deal eigenschap;HubSpot;1;Stel 'jaarrekening_2022_gereed' in;;;;;;399359796;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-503896884;set source to Offerte.nl eenmalig (cloned) 2;hubspot;hubspot;pending_approval;Uitgeschakeld;Data beheer;;deal eigenschap;HubSpot;1;Stel 'lead_source_wiecher' in;;;;;;503896884;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-152366623;Taal sync vanuit sales pipeline naar contact;hubspot;hubspot;pending_approval;Actief;Data beheer;;deal eigenschap;HubSpot;1;Stel 'taal2' in;;;;;;152366623;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-536357813;JR prio van uit IB 2023;hubspot;hubspot;pending_approval;Actief;Data beheer;;deal eigenschap;HubSpot;1;Stel 'hs_priority' in;;;;;;536357813;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-521734440;Tijdelijk - Q4 - Aanmaken;hubspot;hubspot;pending_approval;Uitgeschakeld;Data beheer;;deal eigenschap;HubSpot;1;"Maak of update deal met velden: hubspot_owner_id, dealstage, dealname, amount";;;;;;521734440;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-149404974;DTM afspraak;hubspot;hubspot;pending_approval;Actief;Data beheer;;deal eigenschap;HubSpot;1;Stel 'dtm_eerste_fysieke_afspraak' in;;;;;;149404974;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-190144939;Default-dtm van maken van afspraak;hubspot;hubspot;pending_approval;Actief;Data beheer;;deal eigenschap;HubSpot;1;Stel 'dtm_van_maken_van_afspraak' in;;;;;;190144939;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-571243639;IB prio gebaseerd op JR 2023 En Klant is Nieuw;hubspot;hubspot;pending_approval;Actief;Data beheer;;deal eigenschap;HubSpot;1;Stel 'hs_priority' in;;;;;;571243639;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-536943416;JR status Q4 2023 niet af;hubspot;hubspot;pending_approval;Actief;Data beheer;;deal eigenschap;HubSpot;1;Stel 'jaarrekening_2023_gereed' in;;;;;;536943416;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-152475193;Add Batch of Clockify Clients;hubspot;hubspot;pending_approval;Uitgeschakeld;Integratie;;deal eigenschap;HubSpot | Webhook;19;Webhook -> https://1662a42a80be88d41fe7507f6c6c80d3.m.pipedream.net?pipeline=1&start=0&end=100 | Voer HubSpot-actie uit | Webhook -> https://1662a42a80be88d41fe7507f6c6c80d3.m.pipedream.net?pipeline=2&start=0&end=100 | Voer HubSpot-actie uit | Webhook -> https://1662a42a80be88d41fe7507f6c6c80d3.m.pipedream.net?pipeline=3&start=0&end=100 | Webhook -> https://1662a42a80be88d41fe7507f6c6c80d3.m.pipedream.net?pipeline=4&start=0&end=100 | Voer HubSpot-actie uit | Webhook -> https://1662a42a80be88d41fe7507f6c6c80d3.m.pipedream.net?pipeline=5&start=0&end=100 | Voer HubSpot-actie uit | Webhook -> https://1662a42a80be88d41fe7507f6c6c80d3.m.pipedream.net?pipeline=5&start=100&end=200 | Voer HubSpot-actie uit | Webhook -> https://1662a42a80be88d41fe7507f6c6c80d3.m.pipedream.net?pipeline=5&start=300&end=400 | Voer HubSpot-actie uit | Webhook -> https://1662a42a80be88d41fe7507f6c6c80d3.m.pipedream.net?pipeline=5&start=200&end=300 | Voer HubSpot-actie uit | Webhook -> https://1662a42a80be88d41fe7507f6c6c80d3.m.pipedream.net?pipeline=5&start=400&end=500 | Voer HubSpot-actie uit | Webhook -> https://1662a42a80be88d41fe7507f6c6c80d3.m.pipedream.net?pipeline=5&start=500&end=600 | Voer HubSpot-actie uit;;;;;;152475193;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-164609094;JR verzonden naar contact;hubspot;hubspot;pending_approval;Actief;Data beheer;;deal eigenschap;HubSpot;1;Stel 'jaarrekening_2021_gereed' in;;;;;;164609094;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-571236204;Deal prio high BTW (cloned);hubspot;hubspot;pending_approval;Uitgeschakeld;Data beheer;;deal eigenschap;HubSpot;1;Stel 'hs_priority' in;;;;;;571236204;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-380243561;JR status 2022 uit VPB pipeline;hubspot;hubspot;pending_approval;Uitgeschakeld;Data beheer;;deal eigenschap;HubSpot;1;Stel 'jaarrekening_2022_gereed' in;;;;;;380243561;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-399485785;IB prio gebaseerd op JR;hubspot;hubspot;pending_approval;Uitgeschakeld;Data beheer;;deal eigenschap;HubSpot;1;Stel 'hs_priority' in;;;;;;399485785;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-1617938093;Move VPB deal when JR = done (default) ;hubspot;hubspot;pending_approval;Actief;Data beheer;;deal eigenschap;HubSpot;1;Stel 'dealstage' in;;;;;;1617938093;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-326276520;JR status Q4 2022;hubspot;hubspot;pending_approval;Uitgeschakeld;Data beheer;;deal eigenschap;HubSpot;1;Stel 'jaarrekening_2022_gereed' in;;;;;;326276520;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-613877511;JR New Deal Priority 2024;hubspot;hubspot;pending_approval;Uitgeschakeld;Data beheer;;deal eigenschap;HubSpot;1;Stel 'hs_priority' in;;;;;;613877511;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-609079138;Delete jaarklanten from portal;hubspot;hubspot;pending_approval;Uitgeschakeld;Integratie;;deal eigenschap;HubSpot | Webhook;1;Webhook -> https://dinnka-production.up.railway.app/v2/administrations/offboard/hubspot/;/v2/administrations/offboard/hubspot/;;;;;609079138;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-462618522; Nieuwe klant;hubspot;hubspot;pending_approval;Uitgeschakeld;Algemeen;;EVENT_BASED;HubSpot;1;Voer HubSpot-actie uit;;;;;;462618522;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-536333828;IB informatie status 2023;hubspot;hubspot;pending_approval;Actief;Data beheer;;deal eigenschap;HubSpot;1;Stel 'ib_2023_info_ontvangen' in;;;;;;536333828;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-1663397220;Update Moeilijkheidsgraad property on associated records;hubspot;hubspot;pending_approval;Actief;Data beheer;;deal eigenschap;HubSpot;1;Stel 'moeilijkheidsgraad' in;;;;;;1663397220;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-592552865;Put deals in correct BTW stage based on Bankkoppeling Status  (HubSpot 592552865);hubspot;hubspot;pending_approval;Uitgeschakeld;Data beheer;;EVENT_BASED;HubSpot;4;Splits in 2 paden op basis van criteria | Stel 'dealstage' in | Stel 'dealstage' in | Stel 'dealstage' in;;;;;;592552865;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-613984418;JR 2024 manual trigger;hubspot;hubspot;pending_approval;Actief;Data beheer;;deal eigenschap;HubSpot;1;Stel 'jr_gereed_2024' in;;;;;;613984418;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-536358467;JR status 2023 uit JR pipeline;hubspot;hubspot;pending_approval;Actief;Data beheer;;deal eigenschap;HubSpot;1;Stel 'jaarrekening_2023_gereed' in;;;;;;536358467;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-536333753;IB prio gebaseerd op JR 2023;hubspot;hubspot;pending_approval;Actief;Data beheer;;deal eigenschap;HubSpot;1;Stel 'hs_priority' in;;;;;;536333753;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-1639796334;Change contact property Jaarrekening Prio based on IB Deal - Default;hubspot;hubspot;pending_approval;Actief;Data beheer;;deal eigenschap;HubSpot;1;Stel 'jaarrekening_prioriteit' in;;;;;;1639796334;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-1606842145;Software Jaarcontrole pipeline bewegen ;hubspot;hubspot;pending_approval;Actief;Algemeen;;Onbekend;HubSpot;0;;;;;;;1606842145;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-1663413383;Update Software Portaal Pakket property for associated records;hubspot;hubspot;pending_approval;Actief;Data beheer;;deal eigenschap;HubSpot;1;Stel 'software_portaal_pakket' in;;;;;;1663413383;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-591326586;Deal prio medium BTW q2 2024 (cloned);hubspot;hubspot;approved;Actief;Data beheer;;deal eigenschap;HubSpot;1;Stel 'hs_priority' in;;;;;;591326586;;;;2026-05-05T11:39:01.119+00:00;2026-05-05T09:23:22.411+00:00;;
AUTO-HS-1617635417;Alle companies zonder JR = JR Niet nodig;hubspot;hubspot;pending_approval;Actief;Algemeen;;Onbekend;HubSpot;0;;;;;;;1617635417;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-548555668;Move to Bankkoppeling actief stage;hubspot;hubspot;pending_approval;Actief;Data beheer;;deal eigenschap;HubSpot;1;Stel 'dealstage' in;;;;;;548555668;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-1617863497;moeijlijkheids graad priority: jaarrekening 2024 - dynamic;hubspot;hubspot;pending_approval;Actief;Algemeen;;Onbekend;HubSpot;0;;;;;;;1617863497;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-568921450;Move to Bankkoppeling actief stage rechtzetten ;hubspot;hubspot;pending_approval;Uitgeschakeld;Data beheer;;deal eigenschap;HubSpot;1;Stel 'dealstage' in;;;;;;568921450;;;;2026-05-05T11:39:01.119+00:00;;;
AUTO-HS-1617851917;moeijlijkheids graad priority: jaarrekening 2024 - default;hubspot;hubspot;pending_approval;Actief;Algemeen;;Onbekend;HubSpot;0;;;;;;;1617851917;;;;2026-05-05T11:39:01.119+00:00;;;
